candidate_id,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg
t3_0_c00001,referencia_individual,BR0001,3.0,386.0,286.0,303.0,392.0,292.0,309.0,2,4,5,40,139.4495412844037
t3_0_c00002,optima_individual,BR0001,3.0,391.3548696647362,291.9224941799595,292.7909596882509,397.3548696647362,297.9224941799595,298.7909596882509,2,4,6,48,141.74869803153837
t3_0_c00003,referencia_individual,BR0002,3.0,395.0,296.0,260.0,401.0,302.0,266.0,1,3,6,18,143.32313965341487
t3_0_c00004,optima_individual,BR0002,3.0,388.1985001630886,289.8410026902726,270.17706410419214,394.1985001630886,295.8410026902726,276.17706410419214,2,4,6,48,140.68083646347833
t3_0_c00005,referencia_individual,BR0003,3.0,388.0,288.0,164.0,394.0,294.0,170.0,2,4,10,80,140.2650356778797
t3_0_c00006,referencia_individual,BR0004,3.0,395.0,296.0,224.0,401.0,302.0,230.0,1,3,7,21,143.32313965341487
t3_0_c00007,optima_individual,BR0004,3.0,388.1985001630886,289.8410026902726,232.767932151304,394.1985001630886,295.8410026902726,238.767932151304,2,4,7,56,140.68083646347833
t3_0_c00008,referencia_individual,BR0005,3.0,386.0,286.0,253.0,392.0,292.0,259.0,2,4,6,48,139.4495412844037
t3_0_c00009,optima_individual,BR0005,3.0,392.66755862796725,290.9402118331571,244.4809846453623,398.66755862796725,296.9402118331571,250.4809846453623,2,4,7,56,141.8160592173546
t3_0_c00010,referencia_individual,BR0006,3.0,386.0,286.0,286.0,392.0,292.0,292.0,2,4,6,48,139.4495412844037
t3_0_c00011,referencia_individual,BR0007,3.0,395.0,296.0,291.0,401.0,302.0,297.0,1,3,6,18,143.32313965341487
t3_0_c00012,optima_individual,BR0007,3.0,393.87944673658205,293.9135773725474,293.8994867430204,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
t3_0_c00013,referencia_individual,BR0008,3.0,386.0,286.0,184.0,392.0,292.0,190.0,2,4,9,72,139.4495412844037
t3_0_c00014,referencia_individual,BR0009,3.0,386.0,286.0,179.0,392.0,292.0,185.0,2,4,9,72,139.4495412844037
t3_0_c00015,optima_individual,BR0009,3.0,391.10269192598287,291.72443183590445,173.1979554224186,397.10269192598287,297.72443183590445,179.1979554224186,2,4,10,80,141.65690596572628
t3_0_c00016,referencia_individual,BR0010,3.0,386.0,286.0,164.0,392.0,292.0,170.0,2,4,10,80,139.4495412844037
t3_0_c00017,optima_individual,BR0010,3.0,392.7054050483174,292.98321510292266,157.35754326615606,398.7054050483174,298.98321510292266,163.35754326615606,2,4,11,88,142.2402895313435
t3_0_c00018,referencia_individual,BR0011,3.0,388.0,288.0,283.0,394.0,294.0,289.0,2,4,6,48,140.2650356778797
t3_0_c00019,referencia_individual,BR0012,3.0,386.0,286.0,214.0,392.0,292.0,220.0,2,4,8,64,139.4495412844037
t3_0_c00020,referencia_individual,BR0014,3.0,386.0,286.0,244.0,392.0,292.0,250.0,2,4,7,56,139.4495412844037
t3_0_c00021,referencia_individual,BR0018,3.0,386.0,286.0,288.0,392.0,292.0,294.0,2,4,6,48,139.4495412844037
t3_0_c00022,referencia_individual,BR0019,3.0,393.0,255.0,260.0,399.0,261.0,266.0,2,4,6,48,134.5565749235474
t3_0_c00023,optima_individual,BR0019,3.0,390.3251536132624,267.4671027390772,249.5796470005659,396.3251536132624,273.4671027390772,255.5796470005659,2,4,7,56,136.55295746225067
t3_0_c00024,referencia_individual,BR0020,3.0,393.0,255.0,204.0,399.0,261.0,210.0,2,4,8,64,134.5565749235474
t3_0_c00025,optima_individual,BR0020,3.0,392.1642482908057,269.3735820212254,193.52625755261988,398.1642482908057,275.3735820212254,199.52625755261988,2,4,9,72,137.31658110337025
t3_0_c00026,referencia_individual,BR0021,3.0,383.0,248.0,199.0,389.0,254.0,205.0,2,4,8,64,131.0907237512742
