codigo_producto,candidate_id,costo_flete_usd,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg
BR0001,t3_0_c00012,4833450.0,optima_individual,BR0007,3.0,393.87944673658205,293.9135773725474,293.8994867430204,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0002,t3_0_c03929,435150.0,par_factible,BR0130|BR0136,3.0,393.8289178411416,293.87735406052866,265.93141813156893,399.8289178411416,299.87735406052866,271.93141813156893,2,4,6,48,142.65163545395927
BR0003,t3_0_c01906,323550.0,par_factible,BR0036|BR0286,3.0,393.7899725700244,292.39926112873724,172.17239048860017,399.7899725700244,298.39926112873724,178.17239048860017,2,4,10,80,142.34235141666903
BR0004,t3_0_c00962,727950.0,par_factible,BR0014|BR0026,3.0,393.70910445851706,293.77403647685014,232.89185265291948,399.70910445851706,299.77403647685014,238.89185265291948,2,4,7,56,142.6061449409515
BR0005,t3_0_c00215,20400.0,optima_individual,BR0238,3.0,393.6933311476535,293.7629213646659,251.10014246714508,399.6933311476535,299.7629213646659,257.1001424671451,2,4,7,56,142.60066310139027
BR0006,t3_0_c04025,21600.0,par_factible,BR0134|BR0399,3.0,393.4033214246161,293.53136401617496,284.8899092696752,399.4033214246161,299.53136401617496,290.8899092696752,2,4,6,48,142.49432934572704
BR0007,t3_0_c00012,146400.0,optima_individual,BR0007,3.0,393.87944673658205,293.9135773725474,293.8994867430204,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0008,t3_0_c00182,30600.0,optima_individual,BR0188,3.0,393.4566533516339,293.5596775026307,193.72620969191308,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0009,t3_0_c01885,34350.0,par_factible,BR0036|BR0146,3.0,393.5556888228666,293.7087175790124,173.21740979018506,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0010,t3_0_c00017,41550.0,optima_individual,BR0010,3.0,392.7054050483174,292.98321510292266,157.35754326615606,398.7054050483174,298.98321510292266,163.35754326615606,2,4,11,88,142.2402895313435
BR0011,t3_0_c04025,42000.0,par_factible,BR0134|BR0399,3.0,393.4033214246161,293.53136401617496,284.8899092696752,399.4033214246161,299.53136401617496,290.8899092696752,2,4,6,48,142.49432934572704
BR0012,t3_0_c03763,660750.0,par_factible,BR0120|BR0184,3.0,393.84631444699664,293.88226233200373,206.352363727838,399.84631444699664,299.88226233200373,212.352363727838,2,4,8,64,142.65618282956174
BR0013,t3_0_c00962,410550.0,par_factible,BR0014|BR0026,3.0,393.70910445851706,293.77403647685014,232.89185265291948,399.70910445851706,299.77403647685014,238.89185265291948,2,4,7,56,142.6061449409515
BR0014,t3_0_c04534,150900.0,par_factible,BR0151|BR0371,3.0,393.2881390569096,293.4896788805418,243.10638553372127,399.2881390569096,299.4896788805418,249.10638553372127,2,4,7,56,142.462348203354
BR0015,t3_0_c04534,82800.0,par_factible,BR0151|BR0371,3.0,393.2881390569096,293.4896788805418,243.10638553372127,399.2881390569096,299.4896788805418,249.10638553372127,2,4,7,56,142.462348203354
BR0016,t3_0_c04534,81750.0,par_factible,BR0151|BR0371,3.0,393.2881390569096,293.4896788805418,243.10638553372127,399.2881390569096,299.4896788805418,249.10638553372127,2,4,7,56,142.462348203354
BR0017,t3_0_c00962,353100.0,par_factible,BR0014|BR0026,3.0,393.70910445851706,293.77403647685014,232.89185265291948,399.70910445851706,299.77403647685014,238.89185265291948,2,4,7,56,142.6061449409515
BR0018,t3_0_c00012,567450.0,optima_individual,BR0007,3.0,393.87944673658205,293.9135773725474,293.8994867430204,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
