codigo_producto,candidate_id,costo_flete_usd,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg,capacidad_pallet_validada,costo_flete_usd_validado
BR0001,t3_0_c00012,4833450.000000000000,optima_individual,BR0007,3.000000000000,393.879450675377,293.913580311683,293.899489682015,399.879450675377,299.913580311683,299.899489682015,2,4,6,48,142.669321938660,48,4833450
BR0002,t3_0_c03929,435150.000000000000,par_factible,BR0130|BR0136,3.000000000000,393.828921779431,293.877356999302,265.931420790883,399.828921779431,299.877356999302,271.931420790883,2,4,6,48,142.651635453959,48,435150
BR0003,t3_0_c01906,323550.000000000000,par_factible,BR0036|BR0286,3.000000000000,393.789976507924,292.399264052730,172.172392210324,399.789976507924,298.399264052730,178.172392210324,2,4,10,80,142.342351416669,80,323550
BR0004,t3_0_c00962,727950.000000000000,par_factible,BR0014|BR0026,3.000000000000,393.709108395608,293.774039414591,232.891854981838,399.709108395608,299.774039414591,238.891854981838,2,4,7,56,142.606144940952,56,727950
BR0005,t3_0_c00215,20400.000000000000,optima_individual,BR0238,3.000000000000,393.693335084587,293.762924302295,251.100144978147,399.693335084587,299.762924302295,257.100144978147,2,4,7,56,142.600663101390,56,20400
BR0006,t3_0_c04025,21600.000000000000,par_factible,BR0134|BR0399,3.000000000000,393.403325358649,293.531366951489,284.889912118574,399.403325358649,299.531366951489,290.889912118574,2,4,6,48,142.494329345727,48,21600
BR0007,t3_0_c00012,146400.000000000000,optima_individual,BR0007,3.000000000000,393.879450675377,293.913580311683,293.899489682015,399.879450675377,299.913580311683,299.899489682015,2,4,6,48,142.669321938660,48,146400
BR0008,t3_0_c00182,30600.000000000000,optima_individual,BR0188,3.000000000000,393.456657286200,293.559680438227,193.726211629175,399.456657286200,299.559680438227,199.726211629175,2,4,9,72,142.510974689962,72,30600
BR0009,t3_0_c01885,34350.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,34350
BR0010,t3_0_c00017,41550.000000000000,optima_individual,BR0010,3.000000000000,392.705408975371,292.983218032755,157.357544839731,398.705408975371,298.983218032755,163.357544839731,2,4,11,88,142.240289531344,88,41550
