"codigo_producto","caja_grosor_mm","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","caja_interior_largo","caja_interior_ancho","caja_interior_alto","perimetro_caja_m","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","caja_tipo_id","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_bakersfield","volumen_producto_planta_monterrey","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","cantidad_productos","volumen_tipo_planta_buenos_aires","volumen_tipo_planta_curitiba","volumen_tipo_planta_santiago","volumen_tipo_planta_monterrey","volumen_tipo_planta_bakersfield","costo_unitario_base","costo_total_base","descuento_planta_buenos_aires","descuento_planta_curitiba","descuento_planta_santiago","descuento_planta_monterrey","descuento_planta_bakersfield","costo_unitario_planta_buenos_aires","costo_unitario_planta_curitiba","costo_unitario_planta_santiago","costo_unitario_planta_monterrey","costo_unitario_planta_bakersfield","costo_por_pallet","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_total","costo_pallet_planta_buenos_aires","costo_pallet_planta_curitiba","costo_pallet_planta_santiago","costo_pallet_planta_monterrey","costo_pallet_planta_bakersfield","costo_pallets_total"
"BR0001",3,399.879450675377,299.913580311683,299.899489682015,393.879450675377,293.913580311683,293.899489682015,1.39958606197412,6,2,4,48,0.999075810935959,51,1537892,0,0,8721,1546613,0,1431746,26583,0,88284,0,29828.0416666667,553.8125,1839.25,0,32221.1041666667,18,136782,31428684,9133218,1691766,9687888,0.6,1735944.6,10,-30,-30,-10,-30,0.66,0.42,0.42,0.54,0.42,150,0,601333.32,11164.86,47673.36,0,660171.54,0,4474206.25,83071.875,275887.5,0,4833165.625
"BR0002",3,399.828921779431,299.877356999302,271.931420790883,393.828921779431,293.877356999302,265.931420790883,1.39941255755747,6,2,4,48,0.905679987311111,48,0,139211,0,0,139211,0,139211,0,0,0,0,2900.22916666667,0,0,0,2900.22916666667,14,374374,7437836,18446778,185668,2225328,0.6,1228713.6,0,-30,-30,10,-20,0.6,0.42,0.42,0.66,0.48,150,0,58468.62,0,0,0,58468.62,0,435034.375,0,0,0,435034.375
"BR0003",3,399.789976507924,298.39926405273,178.172392210324,393.789976507924,292.39926405273,172.172392210324,1.39637848112131,10,2,4,80,0.984048058693944,44,0,172506,0,0,172506,0,0,0,172506,0,0,0,0,0,2156.325,2156.325,8,0,0,849440,0,6262376,0.6,533386.2,10,10,-20,10,-30,0.66,0.66,0.48,0.66,0.42,150,0,0,0,0,72452.52,72452.52,0,0,0,0,323448.75,323448.75
"BR0004",3,399.709108395608,299.774039414591,238.891854981838,393.709108395608,293.774039414591,232.891854981838,1.3989662956204,7,2,4,56,0.927649033640618,41,0,271715,0,0,271715,0,0,0,271715,0,0,0,0,0,4852.05357142857,4852.05357142857,9,0,6935679,0,879984,8400276,0.6,1081062.6,10,-30,10,-10,-30,0.66,0.42,0.66,0.54,0.42,150,0,0,0,0,114120.3,114120.3,0,0,0,0,727808.035714286,727808.035714286
"BR0005",3,399.693335084587,299.762924302295,257.100144978147,393.693335084587,293.762924302295,251.100144978147,1.39891251877376,7,2,4,56,0.998277846887019,38,0,7586,0,0,7586,0,7586,0,0,0,0,135.464285714286,0,0,0,135.464285714286,28,29084916,14313292,21513156,8963136,15359960,0.6,1912167,-30,-30,-30,-20,-30,0.42,0.42,0.42,0.48,0.42,150,0,3186.12,0,0,0,3186.12,0,20319.6428571429,0,0,0,20319.6428571429
"BR0006",3,399.879450675377,299.913580311683,299.899489682015,393.879450675377,293.913580311683,293.899489682015,1.39958606197412,6,2,4,48,0.999075810935959,51,0,6901,0,0,6901,0,6901,0,0,0,0,143.770833333333,0,0,0,143.770833333333,18,136782,31428684,9133218,1691766,9687888,0.6,1735944.6,10,-30,-30,-10,-30,0.66,0.42,0.42,0.54,0.42,150,0,2898.42,0,0,0,2898.42,0,21565.625,0,0,0,21565.625
"BR0007",3,399.879450675377,299.913580311683,299.899489682015,393.879450675377,293.913580311683,293.899489682015,1.39958606197412,6,2,4,48,0.999075810935959,51,0,46847,0,0,46847,0,46847,0,0,0,0,975.979166666667,0,0,0,975.979166666667,18,136782,31428684,9133218,1691766,9687888,0.6,1735944.6,10,-30,-30,-10,-30,0.66,0.42,0.42,0.54,0.42,150,0,19675.74,0,0,0,19675.74,0,146396.875,0,0,0,146396.875
"BR0008",3,399.4566572862,299.559680438227,199.726211629175,393.4566572862,293.559680438227,193.726211629175,1.39803267544885,9,2,4,72,0.995810829214127,31,14639,0,0,0,14639,14639,0,0,0,0,203.319444444444,0,0,0,0,203.319444444444,26,14612468,14809158,44233852,878410,3754218,0.6,1806648.6,-30,-30,-30,0,-20,0.42,0.42,0.42,0.6,0.48,150,6148.38,0,0,0,0,6148.38,30497.9166666667,0,0,0,0,30497.9166666667
"BR0009",3,399.555692758424,299.7087205161,179.217411522359,393.555692758424,293.7087205161,173.217411522359,1.39852882654905,10,2,4,80,0.993580710943846,34,18019,0,0,0,18019,2814,6406,4193,2494,2112,35.175,80.075,52.4125,26.4,31.175,225.2375,31,29736998,33095755,3208686,10585229,15891313,0.6,1790670.6,-30,-30,-20,-20,-30,0.42,0.42,0.48,0.48,0.42,150,1181.88,2690.52,2012.64,1013.76,1047.48,7946.28,5276.25,12011.25,7861.875,3960,4676.25,33785.625
"BR0010",3,398.705408975371,298.983218032755,163.357544839731,392.705408975371,292.983218032755,157.357544839731,1.39537725401625,11,2,4,88,0.991692596752447,13,24339,0,0,0,24339,0,24339,0,0,0,0,276.579545454545,0,0,0,276.579545454545,15,2084415,11326320,83385,496680,1066470,0.6,602290.8,-20,-30,10,0,-10,0.48,0.42,0.66,0.6,0.54,150,0,10222.38,0,0,0,10222.38,0,41486.9318181818,0,0,0,41486.9318181818
