"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","id_sencillo","caja_grosor_mm","caja_interior_largo","caja_interior_ancho","caja_interior_alto","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","pallet_alto","pallet_ancho","pallet_largo","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","volumen_interior_caja_mm3","volumen_exterior_caja_mm3","volumen_pallet_mm3","perimetro_caja_m","headspace_max_pct","ect_n_m","carga_max_kg","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_monterrey","volumen_producto_planta_bakersfield","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_pallets_planta_buenos_aires","costo_pallets_planta_curitiba","costo_pallets_planta_santiago","costo_pallets_planta_monterrey","costo_pallets_planta_bakersfield","costo_pallets_total","costo_total","capas_apiladas","peso_capas_superiores_kg","cumple_resistencia","utilizacion_cajas"
"BR0001","5 bolsas de 2,5 kg | Bastones rectos de brocoli 6x6 mm | Ref HQ3","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"a23eeef1c0cd8cfd40b780d65382034a",122,4.1,386,286,303,394.2,294.2,311.2,1800,800,1200,5,2,4,40,0.83543974,33449988,36090996.768,1728000000,1.3768,0.08,1200,168.415902140673,1537892,0,0,8721,1546613,0,1431746,26583,88284,0,0,35794,665,2208,0,38667,0,651444.43,17278.95,51646.14,0,0,5369100,99750,331200,0,5800050,720369.52,5,50,TRUE,0.0462365786199983
"BR0002","Espirales de brocoli - clasico - Caja de 13 packs de 0,75 kg | Ref QTH","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"3256a5fed07b421a92abee44a3d93243",34,2.7,395,296,260,400,301.4,265.4,1800,800,1200,6,2,3,36,0.666596333333333,30399200,31996624,1728000000,1.4028,0.06,730,104.387767584098,0,139211,0,0,139211,0,139211,0,0,0,0,3867,0,0,0,3867,0,66821.28,0,0,0,0,580050,0,0,0,580050,66821.28,6,48.75,TRUE,0.00457942972183478
"BR0003","Gajos de brocoli - sazonado - Caja de 13 packs de 0,75 kg | Ref SOZ","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"4f08f853cf7f9be28571df66a50bc322",60,4.1,388,288,164,396.2,296.2,172.2,1800,800,1200,10,2,4,80,0.935575674444444,18326016,20208434.568,1728000000,1.3848,0.08,1200,169.394495412844,0,172506,0,0,172506,0,0,0,0,172506,0,0,0,0,2157,2157,0,0,0,0,89703.12,0,0,0,0,323550,323550,89703.12,10,87.75,TRUE,0.00941317523677814
"BR0004","Bastones rectos de brocoli - crocante - Caja de 9 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",11.25,"9 X 1,25 KG",9,1.25,"c96df5913565ba35f3e02e744c9a6dde",160,2.7,395,296,224,400,301.4,229.4,1800,800,1200,7,2,3,42,0.672205722222222,26190080,27656464,1728000000,1.4028,0.06,730,104.387767584098,0,271715,0,0,271715,0,0,0,0,271715,0,0,0,0,6470,6470,0,0,0,0,130423.2,0,0,0,0,970500,970500,130423.2,7,67.5,TRUE,0.0103747296686379
"BR0005","13 bolsas de 0,75 kg | Espirales de brocoli sin gluten","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"eb4895380ccaa410da0fefb6f12b197b",190,4.1,386,286,253,394.2,294.2,261.2,1800,800,1200,6,2,4,48,0.841453188,27930188,30292314.768,1728000000,1.3768,0.08,1200,168.415902140673,0,7586,0,0,7586,0,7586,0,0,0,0,159,0,0,0,159,0,3944.72,0,0,0,0,23850,0,0,0,23850,3944.72,6,48.75,TRUE,0.000271605762195371
"BR0006","Brocoli en rejilla - picante - Caja de 5 packs de 2,5 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"6d3c3bcdfc4034e3424078243e7668a1",90,4.1,386,286,286,394.2,294.2,294.2,1800,800,1200,6,2,4,48,0.947762358,31573256,34119444.888,1728000000,1.3768,0.08,1200,168.415902140673,0,6901,0,0,6901,0,6901,0,0,0,0,144,0,0,0,144,0,4934.215,0,0,0,0,21600,0,0,0,21600,4934.215,6,62.5,TRUE,0.00021857105900006
"BR0007","13 bolsas de 0,75 kg | Brocoli en rejilla","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"02cf77de65b70dd77905e2e33d78478f",1,2.7,395,296,291,400,301.4,296.4,1800,800,1200,6,2,3,36,0.744458,34023720,35733984,1728000000,1.4028,0.06,730,104.387767584098,0,46847,0,0,46847,0,46847,0,0,0,0,1302,0,0,0,1302,0,25297.38,0,0,0,0,195300,0,0,0,195300,25297.38,6,48.75,TRUE,0.0013768923562738
"BR0008","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref YDL","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",11,"11 X 1 KG",11,1,"9a88ed4806deaa5c9b3abac82886d23a",112,4.1,386,286,184,394.2,294.2,192.2,1800,800,1200,9,2,4,72,0.928755567,20312864,22290133.608,1728000000,1.3768,0.08,1200,168.415902140673,14639,0,0,0,14639,14639,0,0,0,0,204,0,0,0,0,204,8563.815,0,0,0,0,30600,0,0,0,0,30600,8563.815,9,88,TRUE,0.000720676316249644
"BR0009","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref K4O","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",66,4.1,386,286,179,394.2,294.2,187.2,1800,800,1200,9,2,4,72,0.904594392,19760884,21710265.408,1728000000,1.3768,0.08,1200,168.415902140673,18019,0,0,0,18019,2814,6406,4193,2112,2494,40,89,59,30,35,253,1280.37,2914.73,2997.995,1098.24,1783.21,6000,13350,8850,4500,5250,37950,10074.545,9,100,TRUE,0.000911851919175276
"BR0010","BonsaiGreen Gajos de brocoli sazonado 13 x 0,75 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"116dda17a7b7fb82c62f462ef4a94218",6,4.1,386,286,164,394.2,294.2,172.2,1800,800,1200,10,2,4,80,0.92456763,18104944,19970660.808,1728000000,1.3768,0.08,1200,168.415902140673,24339,0,0,0,24339,0,24339,0,0,0,0,305,0,0,0,305,0,11074.245,0,0,0,0,45750,0,0,0,45750,11074.245,10,87.75,TRUE,0.00134432893026347
