"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","id_sencillo","caja_grosor_mm","caja_interior_largo","caja_interior_ancho","caja_interior_alto","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","pallet_alto","pallet_ancho","pallet_largo","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","volumen_interior_caja_mm3","volumen_exterior_caja_mm3","volumen_pallet_mm3","perimetro_caja_m","headspace_max_pct","ect_n_m","carga_max_kg","volumen_tipo_planta_buenos_aires","volumen_tipo_planta_curitiba","volumen_tipo_planta_santiago","volumen_tipo_planta_monterrey","volumen_tipo_planta_bakersfield","costo_unitario_base","costo_total_base","costo_unitario_planta_buenos_aires","costo_unitario_planta_curitiba","costo_unitario_planta_santiago","costo_unitario_planta_monterrey","costo_unitario_planta_bakersfield","descuento_planta_buenos_aires","descuento_planta_curitiba","descuento_planta_santiago","descuento_planta_monterrey","descuento_planta_bakersfield","costo_por_pallet"
"BR0001","5 bolsas de 2,5 kg | Bastones rectos de brocoli 6x6 mm | Ref HQ3","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"a23eeef1c0cd8cfd40b780d65382034a",122,4.1,386,286,303,394.2,294.2,311.2,1800,800,1200,5,2,4,40,0.83543974,33449988,36090996.768,1728000000,1.3768,0.08,1200,168.415902140673,204,4295703,80055,265005,180,0.65,1005581.85,0.715,0.455,0.65,0.585,0.715,10,30,0,-10,10,150
"BR0002","Espirales de brocoli - clasico - Caja de 13 packs de 0,75 kg | Ref QTH","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"3256a5fed07b421a92abee44a3d93243",34,2.7,395,296,260,400,301.4,265.4,1800,800,1200,6,2,3,36,0.666596333333333,30399200,31996624,1728000000,1.4028,0.06,730,104.387767584098,0,1124998,9039079,0,349489,0.6,901162.8,0.66,0.48,0.42,0.66,0.6,10,-20,-30,10,0,150
"BR0003","Gajos de brocoli - sazonado - Caja de 13 packs de 0,75 kg | Ref SOZ","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"4f08f853cf7f9be28571df66a50bc322",60,4.1,388,288,164,396.2,296.2,172.2,1800,800,1200,10,2,4,80,0.935575674444444,18326016,20208434.568,1728000000,1.3848,0.08,1200,169.394495412844,0,319284,0,0,805360,0.65,182754.65,0.715,0.585,0.715,0.715,0.52,10,-10,10,10,-20,150
"BR0004","Bastones rectos de brocoli - crocante - Caja de 9 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",11.25,"9 X 1,25 KG",9,1.25,"c96df5913565ba35f3e02e744c9a6dde",160,2.7,395,296,224,400,301.4,229.4,1800,800,1200,7,2,3,42,0.672205722222222,26190080,27656464,1728000000,1.4028,0.06,730,104.387767584098,0,1877934,0,0,2492424,0.6,437035.8,0.66,0.48,0.66,0.66,0.48,10,-20,10,10,-20,150
"BR0005","13 bolsas de 0,75 kg | Espirales de brocoli sin gluten","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"eb4895380ccaa410da0fefb6f12b197b",190,4.1,386,286,253,394.2,294.2,261.2,1800,800,1200,6,2,4,48,0.841453188,27930188,30292314.768,1728000000,1.3768,0.08,1200,168.415902140673,0,441492,5720076,0,0,0.65,1001254.8,0.715,0.52,0.455,0.715,0.715,10,-20,-30,10,10,150
"BR0006","Brocoli en rejilla - picante - Caja de 5 packs de 2,5 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"6d3c3bcdfc4034e3424078243e7668a1",90,4.1,386,286,286,394.2,294.2,294.2,1800,800,1200,6,2,4,48,0.947762358,31573256,34119444.888,1728000000,1.3768,0.08,1200,168.415902140673,0,6901,0,0,0,0.65,4485.65,0.715,0.715,0.715,0.715,0.715,10,10,10,10,10,150
"BR0007","13 bolsas de 0,75 kg | Brocoli en rejilla","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"02cf77de65b70dd77905e2e33d78478f",1,2.7,395,296,291,400,301.4,296.4,1800,800,1200,6,2,3,36,0.744458,34023720,35733984,1728000000,1.4028,0.06,730,104.387767584098,0,324352,1773376,0,2564276,0.6,504089.4,0.66,0.54,0.48,0.66,0.42,10,-10,-20,10,-30,150
"BR0008","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref YDL","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",11,"11 X 1 KG",11,1,"9a88ed4806deaa5c9b3abac82886d23a",112,4.1,386,286,184,394.2,294.2,192.2,1800,800,1200,9,2,4,72,0.928755567,20312864,22290133.608,1728000000,1.3768,0.08,1200,168.415902140673,187029,0,0,131382,302352,0.65,134498.65,0.585,0.715,0.715,0.65,0.52,-10,10,10,0,-20,150
"BR0009","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref K4O","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",66,4.1,386,286,179,394.2,294.2,187.2,1800,800,1200,9,2,4,72,0.904594392,19760884,21710265.408,1728000000,1.3768,0.08,1200,168.415902140673,4150192,6511048,34760,2059872,20680,0.65,1038094.85,0.455,0.455,0.715,0.52,0.715,-30,-30,10,-20,10,150
"BR0010","BonsaiGreen Gajos de brocoli sazonado 13 x 0,75 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"116dda17a7b7fb82c62f462ef4a94218",6,4.1,386,286,164,394.2,294.2,172.2,1800,800,1200,10,2,4,80,0.92456763,18104944,19970660.808,1728000000,1.3768,0.08,1200,168.415902140673,0,5214468,32879,0,0,0.65,487253.65,0.715,0.455,0.715,0.715,0.715,10,-30,10,10,10,150
