"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_monterrey","volumen_producto_planta_bakersfield","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_pallets_planta_buenos_aires","costo_pallets_planta_curitiba","costo_pallets_planta_santiago","costo_pallets_planta_monterrey","costo_pallets_planta_bakersfield","costo_pallets_total","costo_total"
"BR0001","5 bolsas de 2,5 kg | Bastones rectos de brocoli 6x6 mm | Ref HQ3","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"a23eeef1c0cd8cfd40b780d65382034a",1537892,0,0,8721,1546613,0,1431746,26583,88284,0,0,35794,665,2208,0,38667,0,651444.43,17278.95,51646.14,0,0,5369100,99750,331200,0,5800050,720369.52
"BR0002","Espirales de brocoli - clasico - Caja de 13 packs de 0,75 kg | Ref QTH","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"3256a5fed07b421a92abee44a3d93243",0,139211,0,0,139211,0,139211,0,0,0,0,3867,0,0,0,3867,0,66821.28,0,0,0,0,580050,0,0,0,580050,66821.28
"BR0003","Gajos de brocoli - sazonado - Caja de 13 packs de 0,75 kg | Ref SOZ","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"4f08f853cf7f9be28571df66a50bc322",0,172506,0,0,172506,0,0,0,0,172506,0,0,0,0,2157,2157,0,0,0,0,89703.12,0,0,0,0,323550,323550,89703.12
"BR0004","Bastones rectos de brocoli - crocante - Caja de 9 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",11.25,"9 X 1,25 KG",9,1.25,"c96df5913565ba35f3e02e744c9a6dde",0,271715,0,0,271715,0,0,0,0,271715,0,0,0,0,6470,6470,0,0,0,0,130423.2,0,0,0,0,970500,970500,130423.2
"BR0005","13 bolsas de 0,75 kg | Espirales de brocoli sin gluten","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"eb4895380ccaa410da0fefb6f12b197b",0,7586,0,0,7586,0,7586,0,0,0,0,159,0,0,0,159,0,3944.72,0,0,0,0,23850,0,0,0,23850,3944.72
"BR0006","Brocoli en rejilla - picante - Caja de 5 packs de 2,5 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"6d3c3bcdfc4034e3424078243e7668a1",0,6901,0,0,6901,0,6901,0,0,0,0,144,0,0,0,144,0,4934.215,0,0,0,0,21600,0,0,0,21600,4934.215
"BR0007","13 bolsas de 0,75 kg | Brocoli en rejilla","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"02cf77de65b70dd77905e2e33d78478f",0,46847,0,0,46847,0,46847,0,0,0,0,1302,0,0,0,1302,0,25297.38,0,0,0,0,195300,0,0,0,195300,25297.38
"BR0008","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref YDL","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",11,"11 X 1 KG",11,1,"9a88ed4806deaa5c9b3abac82886d23a",14639,0,0,0,14639,14639,0,0,0,0,204,0,0,0,0,204,8563.815,0,0,0,0,30600,0,0,0,0,30600,8563.815
"BR0009","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref K4O","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",18019,0,0,0,18019,2814,6406,4193,2112,2494,40,89,59,30,35,253,1280.37,2914.73,2997.995,1098.24,1783.21,6000,13350,8850,4500,5250,37950,10074.545
"BR0010","BonsaiGreen Gajos de brocoli sazonado 13 x 0,75 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"116dda17a7b7fb82c62f462ef4a94218",24339,0,0,0,24339,0,24339,0,0,0,0,305,0,0,0,305,0,11074.245,0,0,0,0,45750,0,0,0,45750,11074.245
