codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0002,3.0,395.2937208897734,296.7361648499011,274.5874392099593
BR0003,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0004,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0005,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0006,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0007,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0008,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0009,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0010,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0011,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0012,3.0,399.9870378555164,299.98993116902363,224.99574672917328
BR0013,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0014,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0015,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0016,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0017,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0018,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0019,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0020,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0021,3.0,399.7941102208086,239.9509600145156,215.4838825883871
BR0022,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0023,3.0,399.2596709720018,239.83781831045505,196.0527315200292
BR0024,3.0,396.3251536132624,273.4671027390772,255.5796470005659
BR0025,3.0,399.1411697619741,299.3843190744104,179.5917767446542
BR0026,3.0,398.4318565472812,298.0184833315278,221.2670092557481
BR0027,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0028,3.0,395.76787001334856,296.7808320006124,223.6608207735851
BR0029,3.0,399.1411697619741,299.3843190744104,179.5917767446542
BR0030,3.0,399.0889216216815,299.40271009254855,179.6039675255874
BR0031,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0032,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0033,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0034,3.0,399.2596709720018,239.83781831045505,196.0527315200292
BR0035,3.0,399.9870378555164,299.98993116902363,224.99574672917328
BR0036,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0037,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0038,3.0,396.3251536132624,273.4671027390772,255.5796470005659
BR0039,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0040,3.0,392.37799908491456,269.3753324136191,252.19841555820105
BR0041,3.0,392.37799908491456,269.3753324136191,252.19841555820105
BR0042,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0043,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0044,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0045,3.0,390.7944228820316,194.7589214677357,148.8268926031031
BR0046,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0047,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0048,3.0,396.3251536132624,273.4671027390772,255.5796470005659
BR0049,3.0,395.1678408604193,238.94143362717824,265.8474425269948
BR0050,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0051,3.0,398.8182097959093,239.668484756126,248.4930307961189
BR0052,3.0,396.56234210727047,239.1373906073542,255.18487086254729
BR0053,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0054,3.0,395.1678408604193,238.94143362717824,265.8474425269948
BR0055,3.0,396.56234210727047,239.1373906073542,255.18487086254729
BR0056,3.0,396.56234210727047,239.1373906073542,255.18487086254729
BR0057,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0058,3.0,390.7944228820316,194.7589214677357,148.8268926031031
BR0059,3.0,395.1678408604193,238.94143362717824,265.8474425269948
BR0060,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0061,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0062,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0063,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0064,3.0,395.1678408604193,238.94143362717824,265.8474425269948
BR0065,3.0,399.0732451188162,299.39243619622914,179.61697060930584
BR0066,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0067,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0068,3.0,399.987043531577,299.98993336892363,224.9957419419903
BR0069,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0070,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0071,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0072,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0073,3.0,399.0732451188162,299.39243619622914,179.61697060930584
BR0074,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0075,3.0,395.2937208897734,296.7361648499011,274.5874392099593
BR0076,3.0,398.7758758779989,268.820945476175,179.90316250500862
BR0077,3.0,398.66755862796725,296.9402118331571,250.4809846453623
BR0078,3.0,395.2937208897734,296.7361648499011,274.5874392099593
BR0079,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0080,3.0,395.997640676861,273.12758969741105,285.9271319726787
BR0081,3.0,395.997640676861,273.12758969741105,285.9271319726787
BR0082,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0083,3.0,395.2937208897734,296.7361648499011,274.5874392099593
BR0084,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0085,3.0,395.997640676861,273.12758969741105,285.9271319726787
BR0086,3.0,398.3928200294749,239.64791993090952,243.2482217845588
BR0087,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0088,3.0,396.3251536132624,273.4671027390772,255.5796470005659
BR0089,3.0,395.1678408604193,238.94143362717824,256.4174950159345
BR0090,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0091,3.0,398.7280105895057,239.72134909971595,222.275078730628
BR0092,3.0,396.3251536132624,273.4671027390772,255.5796470005659
BR0092XL,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0093,3.0,396.3251536132624,273.4671027390772,255.5796470005659
BR0094,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0095,3.0,397.27500270738807,274.57254064792573,224.22327199456888
BR0096,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0097,3.0,399.7941102208086,239.9509600145156,215.4838825883871
BR0098,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0099,3.0,399.7941102208086,239.9509600145156,215.4838825883871
BR0100,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0101,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0102,3.0,396.50987059224366,295.70094412835505,195.30981955070405
BR0103,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0104,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0105,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0106,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0107,3.0,398.5954728136164,275.820616556795,256.70222430158685
BR0108,3.0,398.3721458119772,297.5566545038652,321.3737655923581
BR0109,3.0,398.3721458119772,297.5566545038652,321.3737655923581
BR0110,3.0,398.0096609005317,275.2133305342098,224.40734312943297
BR0111,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0112,3.0,397.27500270738807,274.57254064792573,224.22327199456888
BR0113,3.0,399.0734728927072,276.31612069936455,299.82067209399094
BR0114,3.0,393.7595115335485,295.8654799753208,272.8843852480862
BR0115,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0116,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0117,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0118,3.0,399.0,300.0,230.0
BR0119,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0120,3.0,395.76787001334856,296.7808320006124,223.6608207735851
BR0121,3.0,394.8396582396076,295.9915182646639,355.81873926090543
BR0122,3.0,397.1201797005956,289.70713571379235,376.8950072691483
BR0123,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0124,3.0,397.1201797005956,289.70713571379235,376.8950072691483
BR0125,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0126,3.0,399.6831339050656,299.7511308998326,257.06300914396786
BR0127,3.0,399.4566573157488,299.5596788644566,199.72620684729927
BR0128,3.0,397.27500270738807,274.57254064792573,224.22327199456888
BR0129,3.0,397.27500270738807,274.57254064792573,224.22327199456888
BR0130,3.0,396.7967741899967,297.7785420724958,269.07392408257704
BR0131,3.0,395.2937208897734,296.7361648499011,274.5874392099593
BR0132,3.0,398.8182097959093,239.668484756126,248.4930307961189
BR0133,3.0,398.8182097959093,239.668484756126,248.4930307961189
BR0134,3.0,399.4944371938002,298.4851640575764,290.44899190042065
BR0135,3.0,399.4944371938002,298.4851640575764,290.44899190042065
BR0136,3.0,399.4944371938002,298.4851640575764,290.44899190042065
BR0136XL,3.0,399.4944371938002,298.4851640575764,290.44899190042065
BR0137,3.0,399.0734728927072,276.31612069936455,299.82067209399094
BR0138,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0139,3.0,399.4944371938002,298.4851640575764,290.44899190042065
BR0140,3.0,399.6831339050656,299.7511308998326,257.06300914396786
