candidate_id,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg
t3_0_c00001,referencia_individual,BR0001,3.0,386.0,286.0,303.0,392.0,292.0,309.0,2,4,5,40,139.44954128440367
t3_0_c00002,optima_individual,BR0001,3.0,391.35487,291.922494,292.79096,397.35486966473627,297.9224941799595,298.7909596882509,2,4,6,48,141.74869803153837
t3_0_c00003,referencia_individual,BR0002,3.0,395.0,296.0,260.0,401.0,302.0,266.0,1,3,6,18,143.32313965341487
t3_0_c00004,optima_individual,BR0002,3.0,388.1985,289.841003,270.177064,394.1985001630886,295.8410026902726,276.17706410419214,2,4,6,48,140.68083646347833
t3_0_c00005,referencia_individual,BR0003,3.0,388.0,288.0,164.0,394.0,294.0,170.0,2,4,10,80,140.2650356778797
t3_0_c00006,referencia_individual,BR0004,3.0,395.0,296.0,224.0,401.0,302.0,230.0,1,3,7,21,143.32313965341487
t3_0_c00007,optima_individual,BR0004,3.0,388.1985,289.841003,232.767932,394.1985001630886,295.8410026902726,238.76793215130397,2,4,7,56,140.68083646347833
t3_0_c00008,referencia_individual,BR0005,3.0,386.0,286.0,253.0,392.0,292.0,259.0,2,4,6,48,139.44954128440367
t3_0_c00009,optima_individual,BR0005,3.0,392.667559,290.940212,244.480985,398.66755862796725,296.9402118331571,250.4809846453623,2,4,7,56,141.8160592173546
t3_0_c00010,referencia_individual,BR0006,3.0,386.0,286.0,286.0,392.0,292.0,292.0,2,4,6,48,139.44954128440367
t3_0_c00011,referencia_individual,BR0007,3.0,395.0,296.0,291.0,401.0,302.0,297.0,1,3,6,18,143.32313965341487
t3_0_c00012,optima_individual,BR0007,3.0,393.879447,293.913577,293.899487,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
t3_0_c00013,referencia_individual,BR0008,3.0,386.0,286.0,184.0,392.0,292.0,190.0,2,4,9,72,139.44954128440367
t3_0_c00014,referencia_individual,BR0009,3.0,386.0,286.0,179.0,392.0,292.0,185.0,2,4,9,72,139.44954128440367
t3_0_c00015,optima_individual,BR0009,3.0,391.102692,291.724432,173.197955,397.10269192598287,297.72443183590445,179.1979554224186,2,4,10,80,141.65690596572628
t3_0_c00016,referencia_individual,BR0010,3.0,386.0,286.0,164.0,392.0,292.0,170.0,2,4,10,80,139.44954128440367
t3_0_c00017,optima_individual,BR0010,3.0,392.705405,292.983215,157.357543,398.7054050483174,298.98321510292266,163.35754326615606,2,4,11,88,142.2402895313435
t3_0_c00018,referencia_individual,BR0011,3.0,388.0,288.0,283.0,394.0,294.0,289.0,2,4,6,48,140.2650356778797
t3_0_c00019,referencia_individual,BR0012,3.0,386.0,286.0,214.0,392.0,292.0,220.0,2,4,8,64,139.44954128440367
t3_0_c00020,referencia_individual,BR0014,3.0,386.0,286.0,244.0,392.0,292.0,250.0,2,4,7,56,139.44954128440367
t3_0_c00021,referencia_individual,BR0018,3.0,386.0,286.0,288.0,392.0,292.0,294.0,2,4,6,48,139.44954128440367
t3_0_c00022,referencia_individual,BR0019,3.0,393.0,255.0,260.0,399.0,261.0,266.0,2,4,6,48,134.5565749235474
t3_0_c00023,optima_individual,BR0019,3.0,390.325154,267.467103,249.579647,396.3251536132624,273.4671027390772,255.5796470005659,2,4,7,56,136.55295746225067
t3_0_c00024,referencia_individual,BR0020,3.0,393.0,255.0,204.0,399.0,261.0,210.0,2,4,8,64,134.5565749235474
t3_0_c00025,optima_individual,BR0020,3.0,392.164248,269.373582,193.526258,398.1642482908057,275.3735820212254,199.52625755261988,2,4,9,72,137.31658110337023
t3_0_c00026,referencia_individual,BR0021,3.0,383.0,248.0,199.0,389.0,254.0,205.0,2,4,8,64,131.0907237512742
t3_0_c00027,optima_individual,BR0021,3.0,389.167841,232.941434,208.506617,395.1678408604193,238.94143362717824,214.50661718899985,2,5,8,80,129.27813954894955
t3_0_c00028,referencia_individual,BR0022,3.0,393.0,255.0,230.0,399.0,261.0,236.0,2,4,7,56,134.5565749235474
t3_0_c00029,optima_individual,BR0022,3.0,392.009661,269.213331,218.407343,398.0096609005317,275.2133305342098,224.40734312943297,2,4,8,64,137.25239376855077
t3_0_c00030,referencia_individual,BR0023,3.0,383.0,248.0,179.0,389.0,254.0,185.0,2,4,9,72,131.0907237512742
t3_0_c00031,optima_individual,BR0023,3.0,389.167841,232.941434,187.551178,395.1678408604193,238.94143362717824,193.55117827553255,2,5,9,90,129.27813954894955
t3_0_c00032,referencia_individual,BR0024,3.0,393.0,255.0,235.0,399.0,261.0,241.0,2,4,7,56,134.5565749235474
t3_0_c00033,referencia_individual,BR0026,3.0,388.0,288.0,219.0,394.0,294.0,225.0,2,4,8,64,140.2650356778797
t3_0_c00034,referencia_individual,BR0027,3.0,386.0,286.0,171.0,392.0,292.0,177.0,2,4,10,80,139.44954128440367
t3_0_c00035,referencia_individual,BR0028,3.0,386.0,286.0,217.0,392.0,292.0,223.0,2,4,8,64,139.44954128440367
t3_0_c00036,referencia_individual,BR0030,3.0,380.0,282.0,172.0,386.0,288.0,178.0,2,4,10,80,137.41080530071355
t3_0_c00037,referencia_individual,BR0031,3.0,386.0,286.0,169.0,392.0,292.0,175.0,2,4,10,80,139.44954128440367
t3_0_c00038,referencia_individual,BR0032,3.0,386.0,286.0,159.0,392.0,292.0,165.0,2,4,10,80,139.44954128440367
t3_0_c00039,optima_individual,BR0032,3.0,392.806546,291.043192,153.537442,398.8065460158066,297.04319212570124,159.5374418987182,2,4,11,88,141.86539003904338
t3_0_c00040,referencia_individual,BR0033,3.0,388.0,288.0,184.0,394.0,294.0,190.0,2,4,9,72,140.2650356778797
t3_0_c00041,referencia_individual,BR0034,3.0,379.0,246.0,182.0,385.0,252.0,188.0,2,4,9,72,129.86748216106014
t3_0_c00042,optima_individual,BR0034,3.0,390.715783,231.46835,187.626049,396.71578334585155,237.46835029442454,193.6260489945778,2,5,9,90,129.29340135377697
t3_0_c00043,referencia_individual,BR0035,3.0,395.0,296.0,214.0,401.0,302.0,220.0,1,3,8,24,143.32313965341487
