candidate_id,planta,volumen,indice_tier,tier,costo_unitario_usd,costo_packaging_usd
t3_0_c00012,bakersfield,530433,4,tier_5,0.42,222781.86
t3_0_c00012,buenos_aires,7599,0,tier_1,0.66,5015.34
t3_0_c00012,curitiba,1931273,4,tier_5,0.42,811134.6599999999
t3_0_c00012,monterrey,93987,2,tier_3,0.54,50752.98
t3_0_c00012,santiago,671560,4,tier_5,0.42,282055.2
t3_0_c00027,bakersfield,93784,2,tier_3,0.54,50643.36
t3_0_c00050,buenos_aires,36224,1,tier_2,0.6,21734.399999999998
t3_0_c00052,buenos_aires,20935,1,tier_2,0.6,12561.0
t3_0_c00084,curitiba,33240,1,tier_2,0.6,19944.0
t3_0_c00086,curitiba,166453,3,tier_4,0.48,79897.44
t3_0_c00086,santiago,391351,3,tier_4,0.48,187848.47999999998
t3_0_c00147,bakersfield,582333,4,tier_5,0.42,244579.86
t3_0_c00147,santiago,103984,3,tier_4,0.48,49912.32
t3_0_c00182,bakersfield,144393,3,tier_4,0.48,69308.64
t3_0_c00182,buenos_aires,623941,4,tier_5,0.42,262055.22
t3_0_c00182,curitiba,569583,4,tier_5,0.42,239224.86
t3_0_c00182,monterrey,33785,1,tier_2,0.6,20271.0
t3_0_c00182,santiago,1701302,4,tier_5,0.42,714546.84
t3_0_c00208,curitiba,76037,2,tier_3,0.54,41059.98
t3_0_c00289,bakersfield,107617,3,tier_4,0.48,51656.159999999996
t3_0_c00289,buenos_aires,54642,2,tier_3,0.54,29506.68
t3_0_c00289,curitiba,548052,4,tier_5,0.42,230181.84
t3_0_c00289,monterrey,41010,1,tier_2,0.6,24606.0
t3_0_c00289,santiago,240057,3,tier_4,0.48,115227.36
t3_0_c00320,bakersfield,30,0,tier_1,0.66,19.8
t3_0_c00320,buenos_aires,33,0,tier_1,0.66,21.78
t3_0_c00320,curitiba,76,0,tier_1,0.66,50.160000000000004
t3_0_c00320,monterrey,25,0,tier_1,0.66,16.5
t3_0_c00320,santiago,50,0,tier_1,0.66,33.0
t3_0_c00342,santiago,576429,4,tier_5,0.42,242100.18
t3_0_c00446,bakersfield,294923,3,tier_4,0.48,141563.04
t3_0_c00446,curitiba,592080,4,tier_5,0.42,248673.59999999998
t3_0_c00499,bakersfield,1018272,4,tier_5,0.42,427674.24
t3_0_c00499,buenos_aires,103,0,tier_1,0.66,67.98
t3_0_c00499,curitiba,2068359,4,tier_5,0.42,868710.7799999999
t3_0_c00499,monterrey,1462657,4,tier_5,0.42,614315.94
t3_0_c00499,santiago,501247,4,tier_5,0.42,210523.74
t3_0_c00505,bakersfield,324,0,tier_1,0.66,213.84
t3_0_c00505,buenos_aires,103535,3,tier_4,0.48,49696.799999999996
t3_0_c00505,curitiba,539117,4,tier_5,0.42,226429.13999999998
t3_0_c00505,monterrey,41243,1,tier_2,0.6,24745.8
t3_0_c00505,santiago,501619,4,tier_5,0.42,210679.97999999998
