codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0002,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0003,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0004,3.0,398.3811346239362,298.52117878013945,234.1767507721401
BR0005,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0006,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0007,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0008,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0009,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0010,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0011,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0012,3.0,399.707010491744,299.7899607400112,212.20959764621423
BR0013,3.0,398.3811346239362,298.52117878013945,234.1767507721401
BR0014,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0015,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0016,3.0,399.4152710821307,299.5808176829445,243.89087264547155
BR0017,3.0,398.3811346239362,298.52117878013945,234.1767507721401
BR0018,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0019,3.0,397.7106490658831,271.8931747278533,256.1690105374578
BR0020,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0021,3.0,399.7941102208086,239.9509600145156,215.4838825883871
BR0022,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0023,3.0,399.2596709720018,239.83781831045505,196.0527315200292
BR0024,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0025,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0026,3.0,399.9866717234407,299.9896467628579,224.9961620991816
BR0027,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0028,3.0,399.3606046923639,298.72679286955133,221.82654667549565
BR0029,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0030,3.0,397.9801058191987,298.4135594855369,173.58728023598013
BR0031,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0032,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0033,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0034,3.0,399.2596709720018,239.83781831045505,196.0527315200292
BR0035,3.0,399.9866717234407,299.9896467628579,224.9961620991816
BR0036,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0037,3.0,399.1813871680308,276.42798896404105,255.7664008327294
BR0038,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0039,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0040,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0041,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0042,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0043,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0044,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0045,3.0,393.138869554199,193.89139802363792,148.61741756669724
BR0046,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0047,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0048,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0049,3.0,397.5026487363298,239.45291283361843,263.7318753795388
BR0050,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0051,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0052,3.0,398.0258128030435,239.56752078249576,253.79746188751707
BR0053,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0054,3.0,397.5026487363298,239.45291283361843,263.7318753795388
BR0055,3.0,398.0258128030435,239.56752078249576,253.79746188751707
BR0056,3.0,398.0258128030435,239.56752078249576,253.79746188751707
BR0057,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0058,3.0,393.138869554199,193.89139802363792,148.61741756669724
BR0059,3.0,397.5026487363298,239.45291283361843,263.7318753795388
BR0060,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0061,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0062,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0063,3.0,396.0883450099007,239.4583782648388,245.74333663451304
BR0064,3.0,397.5026487363298,239.45291283361843,263.7318753795388
BR0065,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0066,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0067,3.0,397.7106490658831,271.8931747278533,256.1690105374578
BR0068,3.0,398.7035687772007,297.9483455184932,221.16974573542512
BR0069,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0070,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0071,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0072,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0073,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0074,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0075,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0076,3.0,398.7758758779989,268.820945476175,179.90316250500862
BR0077,3.0,399.229160530738,297.58711074490174,252.45179900156973
BR0078,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0079,3.0,399.1813871680308,276.42798896404105,255.7664008327294
BR0080,3.0,392.3092998674731,269.30410772855856,292.7034520012907
BR0081,3.0,399.77131402006165,277.03953079226386,298.5171397476802
BR0082,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0083,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0084,3.0,399.1813871680308,276.42798896404105,255.7664008327294
BR0085,3.0,392.3092998674731,269.30410772855856,292.7034520012907
BR0086,3.0,399.3470284265653,239.8778857556976,247.9501987648835
BR0087,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0088,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0089,3.0,395.1678408604193,238.94143362717824,256.4174950159345
BR0090,3.0,399.0910636045863,239.8672546413923,233.07955927274404
BR0091,3.0,399.6113029528054,238.23109277543955,223.17449183268656
BR0092,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0092XL,3.0,398.3811346239362,298.52117878013945,234.1767507721401
BR0093,3.0,395.5021282188096,269.7786334860466,254.72730384100424
BR0094,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0095,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0096,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0097,3.0,399.7941102208086,239.9509600145156,215.4838825883871
BR0098,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0099,3.0,399.7941102208086,239.9509600145156,215.4838825883871
BR0100,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0101,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0102,3.0,391.4531587707773,292.2666511045887,194.9446654185092
BR0103,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0104,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0105,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0106,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0107,3.0,399.1813871680308,276.42798896404105,255.7664008327294
BR0108,3.0,399.8914445734889,299.9195503469279,317.6317288142165
BR0109,3.0,399.8914445734889,299.9195503469279,317.6317288142165
BR0110,3.0,398.0096601344835,275.2133394959759,224.40733629256985
BR0111,3.0,398.1642482770366,275.37359180220136,199.52625053849133
BR0112,3.0,398.0096601344835,275.2133394959759,224.40733629256985
BR0113,3.0,399.77131402006165,277.03953079226386,298.5171397476802
BR0114,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0115,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0116,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0117,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0118,3.0,398.3811346239362,298.52117878013945,234.1767507721401
BR0119,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0120,3.0,395.5469919085039,290.53167251063445,222.133755561688
BR0121,3.0,399.79351931651735,299.8469786601113,342.0575547387389
BR0122,3.0,397.1201797005956,289.70713571379235,376.8950072691483
BR0123,3.0,399.87944673658205,299.9135773725474,299.8994867430204
BR0124,3.0,397.1201797005956,289.70713571379235,376.8950072691483
BR0125,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0126,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0127,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0128,3.0,399.48672387632246,273.59367189100425,224.904477067846
BR0129,3.0,398.0096601344835,275.2133394959759,224.40733629256985
BR0130,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0131,3.0,398.9984769916616,298.5813627949955,270.3775836237519
BR0132,3.0,399.3470284265653,239.8778857556976,247.9501987648835
BR0133,3.0,399.3470284265653,239.8778857556976,247.9501987648835
BR0134,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0135,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0136,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0136XL,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0137,3.0,399.77131402006165,277.03953079226386,298.5171397476802
BR0138,3.0,396.088343971927,239.45838600874765,157.41683956571677
BR0139,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0140,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0141,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0142,3.0,399.79351931651735,299.8469786601113,342.0575547387389
BR0143,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0144,3.0,398.0096601344835,275.2133394959759,224.40733629256985
BR0145,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0146,3.0,398.9860687557732,299.3352849464196,179.68931791210926
BR0147,3.0,398.7035687772007,297.9483455184932,221.16974573542512
BR0148,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0149,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0150,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0151,3.0,399.987117752971,299.9907649062952,224.99508126206416
BR0152,3.0,398.7035687772007,297.9483455184932,221.16974573542512
BR0153,3.0,399.2881390569096,299.4896788805418,249.10638553372127
BR0154,3.0,399.9866717234407,299.9896467628579,224.9961620991816
BR0155,3.0,398.7035687772007,297.9483455184932,221.16974573542512
BR0156,3.0,398.88453461806495,299.1335224047669,179.67880565764432
BR0157,3.0,399.6989178206085,299.7635277090286,257.09606102431906
BR0158,3.0,398.8845414703037,299.1335255726877,179.6788007569087
BR0159,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0160,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0161,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0162,3.0,399.3606046923639,298.72679286955133,221.82654667549565
BR0163,3.0,399.9866717234407,299.9896467628579,224.9961620991816
BR0164,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0165,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0166,3.0,399.7291874805159,299.8058590488287,149.93036242122665
BR0167,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0168,3.0,399.4566533516339,299.5596775026307,199.72620969191308
BR0169,3.0,395.5469919085039,290.53167251063445,222.133755561688
BR0170,3.0,399.7291874805159,299.8058590488287,149.93036242122665
BR0171,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0172,3.0,399.9866717234407,299.9896467628579,224.9961620991816
BR0173,3.0,399.9866717234407,299.9896467628579,224.9961620991816
BR0174,3.0,398.7054133979895,298.98321959537503,163.35753751243013
BR0175,3.0,396.8277781252673,297.7258876690179,288.007791101739
BR0176,3.0,398.7758758779989,268.820945476175,179.90316250500862
BR0177,3.0,398.7758758779989,268.820945476175,179.90316250500862
BR0178,3.0,398.7758758779989,268.820945476175,179.90316250500862
BR0179,3.0,399.7291874805159,299.8058590488287,149.93036242122665
