codigo_producto,candidate_id,costo_flete_usd,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg
BR0001,t3_0_c00012,4833450.0,optima_individual,BR0007,3.0,393.879447,293.913577,293.899487,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0002,t3_0_c00890,435150.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0003,t3_0_c03092,323550.0,heuristica_9_29,solucion_greedy,3.0,392.884541,293.133526,173.678801,398.8845414703037,299.1335255726877,179.6788007569087,2,4,10,80,142.30745505463636
BR0004,t3_0_c00858,727950.0,par_factible,BR0016|BR0299,3.0,393.708194,293.770813,232.894947,399.70819378400495,299.77081312233565,238.89494672352689,2,4,7,56,142.6053021215781
BR0005,t3_0_c01248,20400.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0006,t3_0_c01679,21600.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0007,t3_0_c00012,146400.0,optima_individual,BR0007,3.0,393.879447,293.913577,293.899487,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0008,t3_0_c00182,30600.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0009,t3_0_c01542,34350.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0010,t3_0_c03010,41550.0,heuristica_9_29,solucion_greedy,3.0,392.705413,292.98322,157.357538,398.7054133979895,298.98321959537503,163.35753751243013,2,4,11,88,142.24029214951366
BR0011,t3_0_c03186,42000.0,heuristica_9_29,solucion_greedy,3.0,387.665073,289.102612,291.624397,393.6650731178058,295.1026122252151,297.62439693058565,2,4,6,48,140.42154645117654
BR0012,t3_0_c01850,660750.0,par_factible,BR0184|BR0320,3.0,393.132363,293.322218,206.121302,399.1323632756415,299.3222181172732,212.1213021991297,2,4,8,64,142.39644880589492
BR0013,t3_0_c00858,410550.0,par_factible,BR0016|BR0299,3.0,393.708194,293.770813,232.894947,399.70819378400495,299.77081312233565,238.89494672352689,2,4,7,56,142.6053021215781
BR0014,t3_0_c01972,150900.0,par_factible,BR0371|BR0386,3.0,393.288139,293.489679,243.106386,399.2881390569096,299.4896788805418,249.10638553372127,2,4,7,56,142.462348203354
BR0015,t3_0_c01972,82800.0,par_factible,BR0371|BR0386,3.0,393.288139,293.489679,243.106386,399.2881390569096,299.4896788805418,249.10638553372127,2,4,7,56,142.462348203354
BR0016,t3_0_c01972,81750.0,par_factible,BR0371|BR0386,3.0,393.288139,293.489679,243.106386,399.2881390569096,299.4896788805418,249.10638553372127,2,4,7,56,142.462348203354
BR0017,t3_0_c00858,353100.0,par_factible,BR0016|BR0299,3.0,393.708194,293.770813,232.894947,399.70819378400495,299.77081312233565,238.89494672352689,2,4,7,56,142.6053021215781
BR0018,t3_0_c00012,567450.0,optima_individual,BR0007,3.0,393.879447,293.913577,293.899487,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0019,t3_0_c00707,3900.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0020,t3_0_c03016,191250.0,heuristica_9_29,solucion_greedy,3.0,392.164248,269.373592,193.526251,398.1642482770366,275.37359180220136,199.52625053849133,2,4,9,72,137.31658309464586
BR0021,t3_0_c00970,75450.0,par_factible,BR0097|BR0302,3.0,393.79411,233.95096,209.483883,399.7941102208086,239.9509600145156,215.4838825883871,2,5,8,80,130.42712950771136
BR0022,t3_0_c01628,34650.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0023,t3_0_c02926,23100.0,par_factible,BR0023|BR0265,3.0,393.259671,233.837818,190.052732,399.2596709720018,239.83781831045505,196.0527315200292,2,5,9,90,130.29510484861507
BR0024,t3_0_c00707,8100.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0025,t3_0_c01542,262350.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0026,t3_0_c02207,256200.0,par_factible,BR0201|BR0284,3.0,393.920216,292.877506,216.874401,399.9202163872421,298.877506314088,222.8744007355222,2,4,8,64,142.46640625919062
BR0027,t3_0_c01542,154350.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0028,t3_0_c03152,7350.0,heuristica_9_29,solucion_greedy,3.0,393.987044,293.989933,218.995742,399.987043531577,299.98993336892363,224.9957419419903,2,4,8,64,142.7068250561673
BR0029,t3_0_c01542,162450.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0030,t3_0_c01542,54750.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0031,t3_0_c01542,26250.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0032,t3_0_c03010,24300.0,heuristica_9_29,solucion_greedy,3.0,392.705413,292.98322,157.357538,398.7054133979895,298.98321959537503,163.35753751243013,2,4,11,88,142.24029214951366
BR0033,t3_0_c00182,135450.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0034,t3_0_c02926,1217400.0,par_factible,BR0023|BR0265,3.0,393.259671,233.837818,190.052732,399.2596709720018,239.83781831045505,196.0527315200292,2,5,9,90,130.29510484861507
BR0035,t3_0_c03152,37200.0,heuristica_9_29,solucion_greedy,3.0,393.987044,293.989933,218.995742,399.987043531577,299.98993336892363,224.9957419419903,2,4,8,64,142.7068250561673
BR0036,t3_0_c03010,47250.0,heuristica_9_29,solucion_greedy,3.0,392.705413,292.98322,157.357538,398.7054133979895,298.98321959537503,163.35753751243013,2,4,11,88,142.24029214951366
BR0037,t3_0_c03047,177300.0,heuristica_9_29,solucion_greedy,3.0,392.595473,269.820617,250.702224,398.5954728136164,275.820616556795,256.70222430158685,2,4,7,56,137.49563493790242
BR0038,t3_0_c00707,84600.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
