"codigo_producto","caja_grosor_mm","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto"
"BR0094",3,399,261,241
"BR0340",3,399,261,241
"BR0340XL",3,399,261,241
"BR0334",3,399,261,241
"BR0095",3,399,261,241
"BR0321",3,399,261,241
"BR0246",3,399,261,241
"BR0421",3,399,261,241
"BR0110",3,399,261,241
"BR0301",3,399,261,241
"BR0204",3,399,261,241
"BR0055",3,399,261,241
"BR0382",3,399,261,241
"BR0052",3,399,261,241
"BR0388",3,399,261,241
"BR0132",3,399,261,241
"BR0041",3,399,261,241
"BR0054",3,399,261,241
"BR0342",3,399,261,241
"BR0259",3,399,261,241
"BR0329",3,399,261,241
"BR0089",3,399,261,241
"BR0086",3,399,261,241
"BR0335",3,399,261,241
"BR0038",3,399,261,241
"BR0381",3,399,261,241
"BR0060",3,399,261,241
"BR0331",3,399,261,241
"BR0057",3,399,261,241
"BR0357",3,399,261,241
"BR0353",3,399,261,241
"BR0245",3,399,261,241
"BR0359",3,399,261,241
"BR0133",3,399,261,241
"BR0383",3,399,261,241
"BR0056",3,399,261,241
"BR0064",3,399,261,241
"BR0022",3,399,261,241
"BR0040",3,399,261,241
"BR0106",3,399,261,241
"BR0063",3,399,261,241
"BR0088",3,399,261,241
"BR0208",3,399,261,241
"BR0062",3,399,261,241
"BR0061",3,399,261,241
"BR0049",3,399,261,241
"BR0059",3,399,261,241
"BR0418",3,399,261,241
"BR0024",3,399,261,241
"BR0417",3,399,261,241
"BR0051",3,399,261,241
"BR0048",3,399,261,241
"BR0409",3,399,261,241
"BR0404",3,399,261,241
"BR0253",3,401,270,336
"BR0252",3,401,270,336
"BR0247",3,401,270,336
"BR0248",3,401,270,336
"BR0137",3,401,270,336
"BR0343",3,401,270,336
"BR0267",3,401,270,336
"BR0251",3,401,270,336
"BR0254",3,401,270,336
"BR0001",3,401,302,297
"BR0243",3,401,302,297
"BR0233",3,401,302,297
"BR0195",3,401,302,297
"BR0249",3,401,302,297
"BR0136XL",3,401,302,297
"BR0018",3,401,302,297
"BR0136",3,401,302,297
"BR0348",3,401,302,297
"BR0258",3,401,302,297
"BR0257",3,401,302,297
"BR0287",3,401,302,297
"BR0277",3,401,302,297
"BR0278",3,401,302,297
"BR0292",3,401,302,297
"BR0115",3,401,302,297
"BR0373",3,401,302,297
"BR0194",3,401,302,297
"BR0007",3,401,302,297
"BR0082",3,401,302,297
"BR0290",3,401,302,297
"BR0399",3,401,302,297
"BR0175",3,401,302,297
"BR0400",3,401,302,297
"BR0011",3,401,302,297
"BR0250",3,401,302,297
"BR0123",3,401,302,297
"BR0113",3,401,302,297
"BR0006",3,401,302,297
"BR0410",3,401,302,297
"BR0408",3,401,302,297
"BR0406",3,401,302,297
"BR0239",3,399,261,266
"BR0093",3,399,261,266
"BR0092",3,399,261,266
"BR0332",3,399,261,266
"BR0339",3,399,261,266
"BR0189",3,399,261,266
"BR0240",3,399,261,266
"BR0380",3,399,261,266
"BR0236",3,399,261,266
"BR0379",3,399,261,266
"BR0037",3,399,261,266
"BR0326",3,399,261,266
"BR0327",3,399,261,266
"BR0039",3,399,261,266
"BR0190",3,399,261,266
"BR0067",3,399,261,266
"BR0378",3,399,261,266
"BR0390",3,399,261,266
"BR0019",3,399,261,266
"BR0415",3,399,261,266
"BR0391",3,399,261,210
"BR0302",3,399,261,210
"BR0300",3,399,261,210
"BR0341",3,399,261,210
"BR0096",3,399,261,210
"BR0111",3,399,261,210
"BR0420",3,399,261,210
"BR0229",3,399,261,210
"BR0264",3,399,261,210
"BR0097",3,399,261,210
"BR0192",3,399,261,210
"BR0020",3,399,261,210
"BR0099",3,399,261,210
"BR0222",3,399,261,210
"BR0090",3,399,261,210
"BR0263",3,399,261,210
"BR0289",3,399,261,210
