codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,3,397.3548732216966,297.9224949697492,298.7909562442697
BR0002,3,394.1984972997614,295.84099825710194,276.1770702389308
BR0003,3,389.0702540551265,291.50992780167724,173.55925374877984
BR0004,3,394.1984972997614,295.84099825710194,238.76793743661736
BR0005,3,394.39114112129073,295.5947570187854,254.32122879248914
BR0006,3,390.5161475980727,292.55130734852054,292.55130734852054
BR0007,3,399.87944867118176,299.9135759653478,299.89948671546273
BR0008,3,388.1059318762942,290.65830541193355,192.7512517111578
BR0009,3,397.1026985894987,297.7244350771034,179.19795055272644
BR0010,3,398.70541339798945,298.98321959537503,163.35753751243013
BR0011,3,391.03554573259174,293.03653820321694,292.1360915914356
BR0012,3,390.9754902537534,292.9120785977094,219.88739870854448
BR0013,3,394.1984972997614,295.84099825710194,238.76793743661736
BR0014,3,390.38857540867224,292.4511111713039,250.6370221141205
BR0015,3,390.38857540867224,292.4511111713039,250.6370221141205
BR0016,3,390.38857540867224,292.4511111713039,250.6370221141205
BR0017,3,394.1984972997614,295.84099825710194,238.76793743661736
BR0018,3,391.2331971295336,293.11448355694836,293.45311511388303
BR0019,3,396.3251518786242,273.4671102677897,255.5796410926946
BR0020,3,398.1642482770366,275.37359180220136,199.52625053849138
BR0021,3,395.16784110708693,238.94142670775648,214.50662325730534
BR0022,3,398.0096601344835,275.2133394959759,224.40733629256982
BR0023,3,395.16784110708693,238.94142670775648,193.55118373395808
BR0024,3,387.8607457090522,264.6925652923445,244.40295232823905
BR0025,3,397.1026985894987,297.7244350771034,179.19795055272644
BR0026,3,395.1770925004246,296.2536323611646,222.64236878151922
BR0027,3,391.5739983287524,293.3821514359199,176.36560406274634
BR0028,3,392.4678606985276,294.0841978053537,221.1692726731593
BR0029,3,391.5739983287524,293.3821514359199,176.36560406274634
BR0030,3,387.9166441714028,290.6586347136596,175.53844839055722
BR0031,3,390.35816909257596,292.42722981714354,175.4687490822578
BR0032,3,394.5432321734126,295.7142104990705,161.93417813213563
BR0033,3,389.6345426403876,291.9482590853271,193.42903761008833
BR0034,3,392.2387964350313,238.15138924777546,195.24243304589004
BR0035,3,398.3041591655105,298.7842776303708,223.83713470907097
BR0036,3,396.97908020630075,297.715583159414,162.9537556067473
BR0037,3,390.64347789679164,267.5772577618191,250.02844909539095
BR0038,3,387.8607457090522,264.6925652923445,244.40295232823905
BR0039,3,390.64347789679164,267.5772577618191,250.02844909539095
BR0040,3,387.8607457090522,264.6925652923445,244.40295232823905
BR0041,3,387.8607457090522,264.6925652923445,244.40295232823905
BR0042,3,392.7948238629767,269.80742979750113,196.53149903991317
BR0043,3,396.0883450099007,239.45837826483879,157.41684419021877
BR0044,3,396.0883450099007,239.45837826483879,157.41684419021877
BR0045,3,390.7944228820316,194.7589214677357,148.8268926031031
BR0046,3,396.0883450099007,239.45837826483879,157.41684419021877
BR0047,3,396.0883450099007,239.45837826483879,157.41684419021877
BR0048,3,396.0883450099007,239.45837826483879,253.10387767153756
BR0049,3,396.0883450099007,239.45837826483879,263.6189362958583
BR0050,3,396.0883450099007,239.45837826483879,235.2282780101923
BR0051,3,396.0883450099007,239.45837826483879,245.74333663451304
BR0052,3,396.0883450099007,239.45837826483879,253.10387767153756
BR0053,3,396.0883450099007,239.45837826483879,235.2282780101923
BR0054,3,396.0883450099007,239.45837826483879,263.6189362958583
BR0055,3,396.0883450099007,239.45837826483879,253.10387767153756
BR0056,3,396.0883450099007,239.45837826483879,253.10387767153756
BR0057,3,396.0883450099007,239.45837826483879,243.64032490964888
BR0058,3,390.7944228820316,194.7589214677357,148.8268926031031
BR0059,3,396.0883450099007,239.45837826483879,263.6189362958583
BR0060,3,396.0883450099007,239.45837826483879,245.74333663451304
BR0061,3,396.0883450099007,239.45837826483879,245.74333663451304
BR0062,3,396.0883450099007,239.45837826483879,245.74333663451304
BR0063,3,396.0883450099007,239.45837826483879,245.74333663451304
BR0064,3,396.0883450099007,239.45837826483879,263.6189362958583
BR0065,3,391.93723262289495,293.73695565343695,176.05859836283608
BR0066,3,396.96209958683335,297.614007540712,162.864732328317
BR0067,3,392.37799908491456,269.3753324136191,252.19841555820105
BR0068,3,390.9754902537534,292.9120785977094,219.88739870854448
BR0069,3,390.7802122265329,267.7190020852797,218.96023562234993
BR0070,3,398.1642482770366,275.37359180220136,199.52625053849138
BR0071,3,392.794823318792,269.80742923337726,221.08452802924543
BR0072,3,392.794823318792,269.80742923337726,221.08452802924543
BR0073,3,389.0702540551265,291.50992780167724,173.55925374877984
BR0074,3,398.10832633803324,298.6438883970218,255.63723738972877
BR0075,3,394.1984972997614,295.84099825710194,276.1770702389308
BR0076,3,399.8991561147097,277.17206727052644,163.6202493508723
BR0077,3,394.39114112129073,295.5947570187854,254.32122879248914
BR0078,3,394.1984972997614,295.84099825710194,276.1770702389308
BR0079,3,398.59547281361637,275.820616556795,256.70222430158685
BR0080,3,387.86074570905225,264.6925652923445,279.9097750154236
BR0081,3,387.86074570905225,264.6925652923445,284.98217825644997
BR0082,3,395.48675281447066,296.7645267910943,295.07645841830714
BR0083,3,394.1984972997614,295.84099825710194,276.1770702389308
BR0084,3,398.59547281361637,275.820616556795,256.70222430158685
BR0085,3,387.86074570905225,264.6925652923445,279.9097750154236
BR0086,3,395.16784110708693,238.94142670775648,245.93978254232627
BR0087,3,395.16784110708693,238.94142670775648,230.22320289981582
BR0088,3,387.8607457090522,264.6925652923445,244.40295232823905
BR0089,3,396.9161872463517,239.32443126456465,254.88830244074933
BR0090,3,395.16784110708693,238.94142670775648,230.22320289981582
BR0091,3,397.33432475149567,239.41603130087665,223.3292182711998
BR0092,3,392.37799908491456,269.3753324136191,252.19841555820105
BR0092XL,3,392.7948222415283,294.7436149972422,237.73672116912886
BR0093,3,392.37799908491456,269.3753324136191,252.19841555820105
BR0094,3,395.0150459239758,272.10900157222807,222.84768234251965
BR0095,3,395.0150459239758,272.10900157222807,222.84768234251965
BR0096,3,398.1642482770366,275.37359180220136,199.52625053849138
BR0097,3,392.2387964350313,238.15138924777546,210.83933686835348
BR0098,3,388.93939203986014,265.81073360240225,216.51928401564757
BR0099,3,395.16784110708693,238.94142670775648,214.50662325730534
BR0100,3,394.0348248844689,295.3884587671536,178.72665757953715
BR0101,3,389.809899515923,292.12226664738034,176.76659724191742
BR0102,3,394.1984972997614,295.84099825710194,190.96737885588342
BR0103,3,393.4917192133573,294.9685963297257,198.36040733426657
BR0104,3,398.10373460223394,298.51065644873347,199.46692278800742
BR0105,3,397.1026985894987,297.7244350771034,179.19795055272644
BR0106,3,397.27500270738807,274.57254064792573,224.22327199456888
BR0107,3,388.1635220425041,265.5310505104617,247.26238911563183
BR0108,3,394.1984972997614,295.84099825710194,318.7819159304546
BR0109,3,394.1984972997614,295.84099825710194,323.9776288196648
BR0110,3,395.0150459239758,272.10900157222807,222.84768234251965
BR0111,3,398.1642482770366,275.37359180220136,199.52625053849138
BR0112,3,388.93939203986014,265.81073360240225,216.51928401564757
BR0113,3,389.35904921184243,291.7342597393799,289.59657026459615
BR0114,3,394.1984972997614,295.84099825710194,270.98135734972067
BR0115,3,389.47721958860063,291.7353253116704,291.1256367664416
BR0116,3,398.70541339798945,298.98321959537503,163.35753751243013
BR0117,3,395.8746749348481,296.7599358684131,255.306563920209
BR0118,3,394.1984972997614,295.84099825710194,233.57222454740713
BR0119,3,395.07016997189845,296.46588561510526,196.3634477697323
BR0120,3,391.2205428025287,293.97256235712445,221.30249302297847
BR0121,3,393.2163311650782,294.73054106443794,353.8220151248221
BR0122,3,394.1984972997614,295.84099825710194,371.7781874003987
BR0123,3,387.83592402615807,290.44623917297287,288.5668122672662
BR0124,3,394.1984972997614,295.84099825710194,371.7781874003987
BR0125,3,394.1683076689907,295.4916512216704,198.6317884653172
BR0126,3,391.3999531535948,293.35150035173046,253.71228398836575
BR0127,3,394.1683076689907,295.4916512216704,198.6317884653172
BR0128,3,388.93939203986014,265.81073360240225,216.51928401564757
BR0129,3,388.93939203986014,265.81073360240225,216.51928401564757
BR0130,3,394.1984972997614,295.84099825710194,265.7856444605104
BR0131,3,394.1984972997614,295.84099825710194,276.1770702389308
BR0132,3,398.3364579656952,239.4166738529622,249.05271290523422
BR0133,3,398.3364579656952,239.4166738529622,249.05271290523422
BR0134,3,387.3203727104572,290.0413212105626,279.1596822876222
BR0135,3,388.8333558467285,291.3259086694572,285.2774568326428
BR0136,3,386.48254374763394,289.49777807523816,291.3375820717424
BR0136XL,3,387.96422342823433,291.4680200301844,292.2870893657052
BR0137,3,398.9151122051983,276.1519676476066,299.6204175470558
BR0138,3,396.0883450099007,239.45837826483879,157.41684419021877
BR0139,3,394.19849729976147,295.84099825710194,286.56849601735126
BR0140,3,388.4095331607192,290.8967561921578,248.17818718962366
BR0141,3,388.4095331607192,290.8967561921578,248.17818718962366
BR0142,3,387.3203727104572,290.04132121056267,330.12230958008905
BR0143,3,396.65419823036126,297.4134357394788,256.38728697212065
BR0144,3,387.2076420125267,290.110521537161,218.72682060598493
BR0145,3,398.88454147030365,299.1335255726877,179.67880075690869
BR0146,3,399.0889216216815,299.40271009254855,179.6039675255874
BR0147,3,392.56985996938823,294.22837150713895,220.62152119884956
BR0148,3,392.25263247761154,293.9819537391539,195.86691391423506
BR0149,3,395.17709392034885,296.25363346414144,178.12681227034048
BR0150,3,392.3361937701586,293.9807855887065,196.51345698927025
BR0151,3,399.46721349009846,299.58154323778757,224.85250473981077
BR0152,3,387.3203727104572,290.04132121056267,213.92751935326467
BR0153,3,387.3203727104572,290.0413212105626,242.4665906370461
BR0154,3,392.56985996938823,294.22837150713895,220.62152119884956
BR0155,3,387.3203727104572,290.04132121056267,213.92751935326467
BR0156,3,395.17709392034885,296.25363346414144,178.12681227034048
BR0157,3,395.8746749348481,296.7599358684131,255.306563920209
BR0158,3,389.0702540551265,291.50992780167724,173.55925374877984
BR0159,3,398.70541339798945,298.98321959537503,163.35753751243013
BR0160,3,398.70541339798945,298.98321959537503,163.35753751243013
BR0161,3,392.25263247761154,293.9819537391539,195.86691391423506
BR0162,3,395.76787001334856,296.7808320006124,223.6608207735851
BR0163,3,390.9754902537534,292.9120785977094,219.88739870854448
BR0164,3,399.72728855117043,299.78815942387143,149.9397278968969
BR0165,3,390.04043228659293,292.4242619997066,195.53536179478698
BR0166,3,395.17709535999444,296.2536345824375,148.44977459622126
BR0167,3,394.1984972997614,295.84099825710194,159.79310152062217
BR0168,3,398.4771897850419,298.8171006231823,199.49352319108164
BR0169,3,387.84236616229225,290.7523051153215,217.82378708188466
BR0170,3,395.17709535999444,296.2536345824375,148.44977459622126
BR0171,3,396.6893055492506,297.44057639601124,163.16926985598005
BR0172,3,399.46721349009846,299.58154323778757,224.85250473981077
BR0173,3,388.66780849834134,291.09960762569284,217.48573312828313
BR0174,3,398.70541339798945,298.98321959537503,163.35753751243013
BR0175,3,391.2331971295336,293.11448355694836,293.45311511388303
BR0176,3,399.8991561147097,277.17206727052644,163.6202493508723
BR0177,3,399.8991561147097,277.17206727052644,163.6202493508723
BR0178,3,399.8991561147097,271.8549679122808,163.6202493508723
BR0179,3,396.12888062343484,297.0726636829658,149.13618935549965
BR0180,3,399.8991561147097,277.17206727052644,163.6202493508723
BR0181,3,399.8991561147097,277.17206727052644,163.6202493508723
BR0182,3,396.5838327942965,297.2315718612842,254.42386505817757
BR0183,3,392.794823318792,269.80742923337726,221.08452802924543
BR0184,3,393.51301272744195,294.90506823486976,197.29940370764558
BR0185,3,390.41445565423385,267.3398440641016,291.29451733859986
BR0186,3,387.3203727104572,290.04132121056267,213.92751935326467
BR0187,3,391.8710817186653,268.8498414175729,293.52510316896706
BR0188,3,399.4566573157488,299.5596788644566,199.72620684729927
BR0189,3,390.64347789679164,267.5772577618191,250.02844909539095
BR0190,3,390.64347789679164,267.5772577618191,250.02844909539095
BR0191,3,392.794823318792,269.80742923337726,221.08452802924543
BR0192,3,395.16784110708693,238.94142670775648,214.50662325730534
BR0193,3,390.41445565423385,267.3398440641016,291.29451733859986
BR0194,3,397.78111524312675,298.40931631148857,297.8906181816485
BR0195,3,399.87944867118176,299.9135759653478,299.89948671546273
BR0196,3,388.8333558467285,291.3259086694572,280.1624850957813
BR0197,3,395.177093207947,296.25363291075786,197.91150405308662
BR0198,3,386.76162120269385,289.81862281479226,193.5751078466081
